Date,AwayTeam,AwayJersey,HomeTeam,HomeJersey
8/24/21,CHW,Road gray Martyl Reinsdorf MR memorial patch,TOR,Home white
8/25/21,LAA,Road gray,BAL,Home white
8/25/21,MIN,Road gray Mike Bell MB memorial patch,BOS,Home white
8/25/21,COL,Road gray 2021 All Star Game patch,CHC,Home white
8/25/21,COL,Road purple 2021 All Star Game patch,CHC,Home white
8/25/21,TEX,Road gray,CLE,Home white
8/25/21,KCR,Road royal,HOU,Home white
8/25/21,WSN,Road navy,MIA,Home white
8/25/21,CIN,Road gray Joe Morgan 8 memorial patch,MIL,Home cream Hank Aaron 44 memorial patch
8/25/21,SFG,Road gray,NYM,Home white Tom Seaver 41 memorial patch
8/25/21,TBR,Road navy,PHI,Home white Dick Allen 15 memorial patch
8/25/21,ARI,Road red snake hat,PIT,Home white Military Appreciation
8/25/21,LAD,Road gray Dodgers Tommy Lasorda TOMMY 2 memorial patch Don Sutton SUTTON 20 memorial patch,SDP,Home white
8/25/21,DET,Road gray,STL,Home white Bob Gibson 45 memorial patch
8/25/21,CHW,Road gray Martyl Reinsdorf MR memorial patch,TOR,Home royal
8/26/21,LAA,Road gray,BAL,Home white
8/26/21,MIN,Road navy Mike Bell MB memorial patch,BOS,Home white
8/26/21,TEX,Road royal,CLE,Home white
8/26/21,WSN,Road navy,MIA,Home white
8/26/21,CIN,Road red Joe Morgan 8 memorial patch,MIL,Home cream Hank Aaron 44 memorial patch
8/26/21,SFG,Road gray,NYM,Home white Tom Seaver 41 memorial patch
8/26/21,NYY,Road gray Whitey Ford 16 memorial patch,OAK,Home kelly green
8/26/21,ARI,Road gray,PHI,Home throwback Dick Allen 15 memorial patch
8/26/21,STL,Road gray Bob Gibson 45 memorial patch,PIT,Home white
8/26/21,LAD,Road gray Dodgers Tommy Lasorda TOMMY 2 memorial patch Don Sutton SUTTON 20 memorial patch,SDP,Home white
8/26/21,KCR,Road gray,SEA,Home white
8/26/21,CHW,Road gray Martyl Reinsdorf MR memorial patch,TOR,Home powder
8/27/21,SFG,Road gray,ATL,Home red 150th season patch
8/27/21,TBR,Road gray,BAL,Home black
8/27/21,CHC,Road gray,CHW,Home white Martyl Reinsdorf MR memorial patch
8/27/21,BOS,Road navy,CLE,Home white
8/27/21,TOR,Road royal,DET,Home white
8/27/21,SDP,Road sand,LAA,Home white
8/27/21,COL,Road black 2021 All Star Game patch,LAD,Home white Tommy Lasorda TOMMY 2 memorial patch Don Sutton SUTTON 20 memorial patch
8/27/21,CIN,Road gray Joe Morgan 8 memorial patch,MIA,Home black
8/27/21,MIL,Road navy Hank Aaron 44 memorial patch,MIN,Home red Mike Bell MB memorial patch
8/27/21,WSN,Road gray,NYM,Home black Tom Seaver 41 memorial patch
8/27/21,NYY,Road gray Whitey Ford 16 memorial patch,OAK,Home white
8/27/21,ARI,Road gray,PHI,Home white Dick Allen 15 memorial patch
8/27/21,STL,Road gray Bob Gibson 45 memorial patch,PIT,Home Negro League
8/27/21,KCR,Road gray,SEA,Home teal
8/27/21,HOU,Road gray,TEX,Home red
8/28/21,SFG,Road gray,ATL,Home white 150th season patch
8/28/21,TBR,Road gray,BAL,Home orange
8/28/21,CHC,Road royal,CHW,Home black Martyl Reinsdorf MR memorial patch
8/28/21,BOS,Road navy,CLE,Home red
8/28/21,TOR,Road powder,DET,Home white
8/28/21,SDP,Road sand,LAA,Home white
8/28/21,COL,Road purple 2021 All Star Game patch,LAD,Home white Tommy Lasorda TOMMY 2 memorial patch Don Sutton SUTTON 20 memorial patch
8/28/21,CIN,Road gray Joe Morgan 8 memorial patch,MIA,Home black
8/28/21,MIL,Road gray Hank Aaron 44 memorial patch,MIN,Home navy Mike Bell MB memorial patch
8/28/21,WSN,Road gray,NYM,Home white Tom Seaver 41 memorial patch
8/28/21,NYY,Road gray Whitey Ford 16 memorial patch,OAK,Home kelly green
8/28/21,ARI,Road gray,PHI,Home white Dick Allen 15 memorial patch
8/28/21,STL,Road powder Bob Gibson 45 memorial patch,PIT,Home white
8/28/21,KCR,Road royal,SEA,Home white
8/28/21,HOU,Road gray,TEX,Home white blue hat
8/29/21,SFG,Road gray,ATL,Home cream
8/29/21,TBR,Road gray,BAL,Home white
8/29/21,CHC,Road royal,CHW,Home throwback Martyl Reinsdorf MR memorial patch
8/29/21,BOS,Road gray,CLE,Home white
8/29/21,TOR,Road royal,DET,Home white
8/29/21,COL,Road purple 2021 All Star Game patch,LAD,Home white Tommy Lasorda TOMMY 2 memorial patch Don Sutton SUTTON 20 memorial patch
8/29/21,CIN,Road red Joe Morgan 8 memorial patch,MIA,Home white
8/29/21,MIL,Road gray Hank Aaron 44 memorial patch,MIN,Home navy Mike Bell MB memorial patch
8/29/21,WSN,Road gray,NYM,Home royal Tom Seaver 41 memorial patch
8/29/21,NYY,Road gray Whitey Ford 16 memorial patch,OAK,Home kelly green
8/29/21,ARI,Road red snake hat,PHI,Home cream Dick Allen 15 memorial patch
8/29/21,STL,Road gray Bob Gibson 45 memorial patch,PIT,Home black
8/29/21,KCR,Road royal,SEA,Home cream
8/29/21,HOU,Road gray,TEX,Home powder
8/30/21,SDP,Road brown,ARI,Home white sand accents
8/30/21,STL,Road gray blue hat Bob Gibson 45 memorial patch,CIN,Home white Joe Morgan 8 memorial patch
8/30/21,MIN,Road gray Mike Bell MB memorial patch,DET,Home white
8/30/21,NYY,Road gray Whitey Ford 16 memorial patch,LAA,Home white
8/30/21,ATL,Road gray 150th season patch,LAD,Home white Tommy Lasorda TOMMY 2 memorial patch Don Sutton SUTTON 20 memorial patch
8/30/21,HOU,Road gray,SEA,Home white
8/30/21,MIL,Road gray Hank Aaron 44 memorial patch,SFG,Home cream
8/30/21,BOS,Road gray,TBR,Home navy
8/30/21,COL,Road purple 2021 All Star Game patch,TEX,Home white blue hat
8/30/21,BAL,Road gray,TOR,Home royal
8/30/21,PHI,Road gray Dick Allen 15 memorial patch,WSN,Home white red hat
8/31/21,SDP,Road brown,ARI,Home white teal accents
8/31/21,PIT,Road gray,CHW,Home black Martyl Reinsdorf MR memorial patch
8/31/21,STL,Postponed - 9/1/21,CIN,Postponed - 9/1/21
8/31/21,OAK,Road kelly green,DET,Home white
8/31/21,CLE,Road navy,KCR,Home white
8/31/21,NYY,Road gray Whitey Ford 16 memorial patch,LAA,Home white
8/31/21,ATL,Road gray 150th season patch,LAD,Home white Tommy Lasorda TOMMY 2 memorial patch Don Sutton SUTTON 20 memorial patch
8/31/21,CHC,Road royal,MIN,Home red Mike Bell MB memorial patch
8/31/21,MIA,Road gray,NYM,Home royal Tom Seaver 41 memorial patch
8/31/21,HOU,Road gray,SEA,Home white
8/31/21,MIL,Road gray Hank Aaron 44 memorial patch,SFG,City Connect
8/31/21,BOS,Road gray,TBR,Home navy
8/31/21,COL,Road black 2021 All Star Game patch,TEX,Home white blue hat
8/31/21,BAL,Road gray,TOR,Home royal
8/31/21,PHI,Road gray Dick Allen 15 memorial patch,WSN,Home white red hat
9/1/21,SDP,Road brown Childhood Cancer Awareness patch,ARI,Home red snake hat Childhood Cancer Awareness patch
9/1/21,PIT,Road gray Childhood Cancer Awareness patch,CHW,Home black Martyl Reinsdorf MR memorial patch Childhood Cancer Awareness patch
9/1/21,STL,Road gray blue hat Bob Gibson 45 memorial patch,CIN,Home white Joe Morgan 8 memorial patch
9/1/21,STL,Road gray blue hat Childhood Cancer Awareness patch Bob Gibson 45 memorial patch,CIN,Home red Joe Morgan 8 memorial patch Childhood Cancer Awareness patch
9/1/21,OAK,Road kelly green Childhood Cancer Awareness patch,DET,Home white Childhood Cancer Awareness patch
9/1/21,CLE,Road navy Childhood Cancer Awareness patch,KCR,Home white Childhood Cancer Awareness patch
9/1/21,NYY,Road gray Childhood Cancer Awareness patch Whitey Ford 16 memorial patch,LAA,Home white Childhood Cancer Awareness patch
9/1/21,ATL,Road navy 150th season patch Childhood Cancer Awareness patch,LAD,Home white Childhood Cancer Awareness patch Tommy Lasorda TOMMY 2 memorial patch Don Sutton SUTTON 20 memorial patch
9/1/21,CHC,Road gray Childhood Cancer Awareness patch,MIN,Home powder Childhood Cancer Awareness patch Mike Bell MB memorial patch
9/1/21,MIA,Postponed - 9/28/21,NYM,Postponed - 9/28/21
9/1/21,HOU,Road orange Childhood Cancer Awareness patch,SEA,Home white Childhood Cancer Awareness patch
9/1/21,MIL,Road gray Childhood Cancer Awareness patch Hank Aaron 44 memorial patch,SFG,Home cream Childhood Cancer Awareness patch
9/1/21,BOS,Road gray Childhood Cancer Awareness patch,TBR,Home navy Childhood Cancer Awareness patch
9/1/21,COL,Road purple 2021 All Star Game patch Childhood Cancer Awareness patch,TEX,Home white blue hat Childhood Cancer Awareness patch
9/1/21,BAL,Road gray Childhood Cancer Awareness patch,TOR,Home white Childhood Cancer Awareness patch
9/1/21,PHI,Postponed - 9/2/21,WSN,Postponed - 9/2/21
9/2/21,PIT,Road black,CHC,Home white
9/2/21,ATL,Road gray 150th season patch,COL,Home black 2021 All Star Game patch
9/2/21,OAK,Road kelly green,DET,Home white
9/2/21,CLE,Road gray,KCR,Home white
9/2/21,MIA,Road gray,NYM,Home white Tom Seaver 41 memorial patch
9/2/21,MIL,Road gray Hank Aaron 44 memorial patch,SFG,Home cream
9/2/21,BOS,Road navy,TBR,Home powder
9/2/21,PHI,Road red Childhood Cancer Awareness patch Dick Allen 15 memorial patch,WSN,Home white red hat Childhood Cancer Awareness patch
9/3/21,SEA,Road teal,ARI,Home throwback
9/3/21,CLE,Road navy,BOS,Home red
9/3/21,PIT,Road gray,CHC,City Connect
9/3/21,DET,Road gray,CIN,Home white Joe Morgan 8 memorial patch
9/3/21,ATL,Road gray 150th season patch,COL,Home purple 2021 All Star Game patch
9/3/21,CHW,Road black Martyl Reinsdorf MR memorial patch,KCR,Home white gold trim
9/3/21,TEX,Road royal,LAA,Home white
9/3/21,PHI,Road gray Dick Allen 15 memorial patch,MIA,Home black Childhood Cancer Awareness patch
9/3/21,STL,Road gray Bob Gibson 45 memorial patch,MIL,Home white Hank Aaron 44 memorial patch
9/3/21,BAL,Road black,NYY,Home white Whitey Ford 16 memorial patch
9/3/21,HOU,Road gray,SDP,Home white
9/3/21,LAD,Road gray Dodgers Tommy Lasorda TOMMY 2 memorial patch Don Sutton SUTTON 20 memorial patch,SFG,Home orange
9/3/21,MIN,Road navy Mike Bell MB memorial patch,TBR,Home white
9/3/21,OAK,Road kelly green,TOR,Home powder
9/3/21,NYM,Road gray Tom Seaver 41 memorial patch,WSN,Home navy
9/4/21,SEA,Road navy,ARI,Home throwback
9/4/21,CLE,Road navy,BOS,Home white
9/4/21,PIT,Road gray,CHC,Home white
9/4/21,DET,Road gray,CIN,Home white Joe Morgan 8 memorial patch
9/4/21,ATL,Road gray 150th season patch,COL,Home black 2021 All Star Game patch
9/4/21,CHW,Road gray Martyl Reinsdorf MR memorial patch,KCR,Home white
9/4/21,TEX,Road gray,LAA,Home white
9/4/21,PHI,Road gray Dick Allen 15 memorial patch,MIA,City Connect
9/4/21,STL,Road powder Bob Gibson 45 memorial patch,MIL,Home white Hank Aaron 44 memorial patch
9/4/21,BAL,Road orange,NYY,Home white Whitey Ford 16 memorial patch
9/4/21,HOU,Road gray,SDP,Home white
9/4/21,LAD,Road gray Dodgers Tommy Lasorda TOMMY 2 memorial patch Don Sutton SUTTON 20 memorial patch,SFG,Home black
9/4/21,MIN,Road gray Mike Bell MB memorial patch,TBR,Home white
9/4/21,OAK,Road kelly green,TOR,Home white
9/4/21,NYM,Road gray Tom Seaver 41 memorial patch,WSN,Home white Curly W
9/4/21,NYM,Road royal Tom Seaver 41 memorial patch,WSN,Home navy
9/5/21,SEA,Road navy,ARI,Home throwback
9/5/21,CLE,Road navy,BOS,Home white
9/5/21,PIT,Road black,CHC,Home white
9/5/21,DET,Road gray,CIN,Home red Joe Morgan 8 memorial patch
9/5/21,ATL,Road gray 150th season patch,COL,Home purple 2021 All Star Game patch
9/5/21,CHW,Road gray Martyl Reinsdorf MR memorial patch,KCR,Home powder
9/5/21,TEX,Road royal,LAA,Home white
9/5/21,PHI,Road gray Dick Allen 15 memorial patch,MIA,City Connect
9/5/21,STL,Road gray Bob Gibson 45 memorial patch,MIL,Home white Hank Aaron 44 memorial patch
9/5/21,BAL,Road gray,NYY,Home white Whitey Ford 16 memorial patch
9/5/21,HOU,Road orange,SDP,Home camo green
9/5/21,LAD,Road city connect Tommy Lasorda TOMMY 2 memorial patch Don Sutton SUTTON 20 memorial patch,SFG,Home cream
9/5/21,MIN,Road navy Mike Bell MB memorial patch,TBR,Home powder throwback hat
9/5/21,OAK,Road kelly green,TOR,Home royal
9/5/21,NYM,Road royal Tom Seaver 41 memorial patch,WSN,Home white Curly W
9/6/21,KCR,Road royal,BAL,Home white
9/6/21,TBR,Road navy,BOS,Home red
9/6/21,CIN,Road red Joe Morgan 8 memorial patch,CHC,Home white
9/6/21,MIN,Road gray Mike Bell MB memorial patch,CLE,Home red
9/6/21,SFG,Road gray,COL,Home purple 2021 All Star Game patch
9/6/21,SEA,Road navy,HOU,Home white
9/6/21,TEX,Road gray,LAA,Home white
9/6/21,PHI,Road gray Dick Allen 15 memorial patch,MIL,Home cream Hank Aaron 44 memorial patch
9/6/21,TOR,Road royal,NYY,Home white Whitey Ford 16 memorial patch
9/6/21,DET,Road gray,PIT,Home black
9/6/21,LAD,Road gray Dodgers Tommy Lasorda TOMMY 2 memorial patch Don Sutton SUTTON 20 memorial patch,STL,Home white Bob Gibson 45 memorial patch
9/6/21,NYM,Road royal Tom Seaver 41 memorial patch,WSN,Home white Curly W
9/7/21,TEX,Road royal,ARI,Home white teal accents
9/7/21,WSN,Road navy,ATL,Home white 150th season patch
9/7/21,KCR,Road gray,BAL,Home white
9/7/21,TBR,Road navy,BOS,Home red
9/7/21,CIN,Road gray Joe Morgan 8 memorial patch,CHC,Home white
9/7/21,MIN,Road navy Mike Bell MB memorial patch,CLE,Home white
9/7/21,SFG,Road gray,COL,Home white 2021 All Star Game patch
9/7/21,SEA,Road navy,HOU,Home white
9/7/21,NYM,Road gray Tom Seaver 41 memorial patch,MIA,Home white
9/7/21,PHI,Road gray Dick Allen 15 memorial patch,MIL,Home cream Hank Aaron 44 memorial patch
9/7/21,TOR,Road royal,NYY,Home white Whitey Ford 16 memorial patch
9/7/21,CHW,Road gray Martyl Reinsdorf MR memorial patch,OAK,Home white
9/7/21,DET,Road gray,PIT,Home black
9/7/21,LAA,Road gray,SDP,Home white
9/7/21,LAD,Road gray Dodgers Tommy Lasorda TOMMY 2 memorial patch Don Sutton SUTTON 20 memorial patch,STL,Home white Bob Gibson 45 memorial patch
9/8/21,TEX,Road gray,ARI,Home black
9/8/21,WSN,Road navy,ATL,Home white 150th season patch
9/8/21,KCR,Road gray,BAL,Home white
9/8/21,TBR,Road navy,BOS,Home white
9/8/21,CIN,Road gray Joe Morgan 8 memorial patch,CHC,Home white
9/8/21,MIN,Road navy Mike Bell MB memorial patch,CLE,Home white
9/8/21,SFG,Road gray,COL,Home white 2021 All Star Game patch
9/8/21,SEA,Road teal,HOU,Home white
9/8/21,NYM,Road gray Tom Seaver 41 memorial patch,MIA,Home white
9/8/21,PHI,Road red Dick Allen 15 memorial patch,MIL,Home cream Hank Aaron 44 memorial patch
9/8/21,TOR,Road royal,NYY,Home white Whitey Ford 16 memorial patch
9/8/21,CHW,Road gray Martyl Reinsdorf MR memorial patch,OAK,Home kelly green
9/8/21,DET,Road gray,PIT,Home white Military Appreciation
9/8/21,LAA,Road gray,SDP,Home white
9/8/21,LAD,Road gray Dodgers Tommy Lasorda TOMMY 2 memorial patch Don Sutton SUTTON 20 memorial patch,STL,Home white Bob Gibson 45 memorial patch
9/9/21,WSN,Road navy,ATL,Home white 150th season patch
9/9/21,KCR,Road gray,BAL,Home white
9/9/21,MIN,Road navy Mike Bell MB memorial patch,CLE,Home red
9/9/21,NYM,Road gray Tom Seaver 41 memorial patch,MIA,Home white
9/9/21,TOR,Road royal,NYY,Home white Whitey Ford 16 memorial patch
9/9/21,CHW,Road gray Martyl Reinsdorf MR memorial patch,OAK,Home kelly green
9/9/21,COL,Road purple 2021 All Star Game patch,PHI,Home throwback Dick Allen 15 memorial patch
9/9/21,LAD,Road gray Dodgers Tommy Lasorda TOMMY 2 memorial patch Don Sutton SUTTON 20 memorial patch,STL,Home white Bob Gibson 45 memorial patch
9/10/21,MIA,Road black,ATL,Home red Los Bravos 150th season patch
9/10/21,TOR,Road royal,BAL,Home black
9/10/21,SFG,Road gray,CHC,City Connect
9/10/21,BOS,Road gray,CHW,Home black Martyl Reinsdorf MR memorial patch
9/10/21,MIL,Road navy Hank Aaron 44 memorial patch,CLE,Home red
9/10/21,TBR,Road gray,DET,Home white
9/10/21,LAA,Road gray,HOU,Home orange
9/10/21,SDP,Road sand,LAD,Home white Tommy Lasorda TOMMY 2 memorial patch Don Sutton SUTTON 20 memorial patch
9/10/21,KCR,Road gray,MIN,Home red Mike Bell MB memorial patch
9/10/21,NYY,Road gray Whitey Ford 16 memorial patch,NYM,Home black Tom Seaver 41 memorial patch
9/10/21,TEX,Road gray,OAK,Home kelly green
9/10/21,COL,Road purple 2021 All Star Game patch,PHI,Home white Childhood Cancer Awareness patch Dick Allen 15 memorial patch
9/10/21,WSN,Road gray,PIT,Home white
9/10/21,ARI,Road gray,SEA,Home teal
9/10/21,CIN,Road gray Joe Morgan 8 memorial patch,STL,Home white Bob Gibson 45 memorial patch
9/11/21,MIA,Road black,ATL,Home white 150th season patch
9/11/21,TOR,Road royal,BAL,Home orange
9/11/21,TOR,Road gray,BAL,Home orange
9/11/21,SFG,Road gray,CHC,Home white
9/11/21,BOS,Road gray,CHW,Home black Martyl Reinsdorf MR memorial patch
9/11/21,MIL,Road navy Hank Aaron 44 memorial patch,CLE,Home white
9/11/21,TBR,Road navy,DET,Home white
9/11/21,LAA,Road red,HOU,Home white
9/11/21,SDP,Road brown,LAD,Home white Tommy Lasorda TOMMY 2 memorial patch Don Sutton SUTTON 20 memorial patch
9/11/21,KCR,Road gray,MIN,Home white Mike Bell MB memorial patch
9/11/21,NYY,Road gray September 11th Remembrance Day Whitey Ford 16 memorial patch,NYM,Home white September 11th Remembrance Day
9/11/21,TEX,Road gray,OAK,Home white
9/11/21,COL,Road black 2021 All Star Game patch,PHI,Home white Dick Allen 15 memorial patch
9/11/21,WSN,Road gray,PIT,Home white
9/11/21,ARI,Road gray,SEA,Home white
9/11/21,CIN,Road gray Joe Morgan 8 memorial patch,STL,Home cream Bob Gibson 45 memorial patch
9/12/21,MIA,Road gray,ATL,Home cream
9/12/21,TOR,Road royal,BAL,Home white
9/12/21,SFG,Road gray,CHC,Home white
9/12/21,BOS,Road navy,CHW,Home throwback Martyl Reinsdorf MR memorial patch
9/12/21,MIL,Road navy Hank Aaron 44 memorial patch,CLE,Home white
9/12/21,TBR,Road navy,DET,Home white
9/12/21,LAA,Road red,HOU,Home navy
9/12/21,SDP,Road sand,LAD,Home white Tommy Lasorda TOMMY 2 memorial patch Don Sutton SUTTON 20 memorial patch
9/12/21,KCR,Road gray,MIN,Home powder Mike Bell MB memorial patch
9/12/21,NYY,Road gray Whitey Ford 16 memorial patch,NYM,Home white Tom Seaver 41 memorial patch
9/12/21,TEX,Road gray,OAK,Home kelly green
9/12/21,COL,Road gray 2021 All Star Game patch,PHI,Home cream Dick Allen 15 memorial patch
9/12/21,WSN,Road gray,PIT,Home white
9/12/21,ARI,Road red snake hat,SEA,Home cream
9/12/21,CIN,Road red Joe Morgan 8 memorial patch,STL,Home white Sunday hat Bob Gibson 45 memorial patch
9/13/21,ARI,Road gray,LAD,Home white Tommy Lasorda TOMMY 2 memorial patch Don Sutton SUTTON 20 memorial patch
9/13/21,STL,Road gray Bob Gibson 45 memorial patch,NYM,Home white Tom Seaver 41 memorial patch
9/13/21,MIN,Road navy Mike Bell MB memorial patch,NYY,Home white Whitey Ford 16 memorial patch
9/13/21,BOS,Road gray,SEA,Home white
9/13/21,SDP,Road brown,SFG,Home cream
9/13/21,HOU,Road gray,TEX,Home white blue hat
9/13/21,TBR,Road navy,TOR,Home royal
9/13/21,MIA,Road gray,WSN,Home white red hat
9/14/21,COL,Road purple 2021 All Star Game patch,ATL,Home white 150th season patch
9/14/21,NYY,Road gray Whitey Ford 16 memorial patch,BAL,Home white
9/14/21,LAA,Road red,CHW,Home black Martyl Reinsdorf MR memorial patch
9/14/21,MIL,Road navy Hank Aaron 44 memorial patch,DET,Home white
9/14/21,OAK,Road kelly green,KCR,Home white
9/14/21,ARI,Road gray,LAD,Home white Tommy Lasorda TOMMY 2 memorial patch Don Sutton SUTTON 20 memorial patch
9/14/21,CLE,Road navy,MIN,Home white Mike Bell MB memorial patch
9/14/21,CLE,Road gray,MIN,Home red Mike Bell MB memorial patch
9/14/21,STL,Road gray Bob Gibson 45 memorial patch,NYM,Home white Tom Seaver 41 memorial patch
9/14/21,CHC,Road gray,PHI,Home white Dick Allen 15 memorial patch
9/14/21,CIN,Road gray Joe Morgan 8 memorial patch,PIT,Home black
9/14/21,BOS,Road navy,SEA,Home white
9/14/21,SDP,Road sand,SFG,City Connect
9/14/21,HOU,Road gray,TEX,Home white blue hat
9/14/21,TBR,Road navy,TOR,Home royal
9/14/21,MIA,Road gray,WSN,Home white red hat
9/15/21,COL,Road purple 2021 All Star Game patch Roberto Clemente Day patch,ATL,Home white 150th season patch Roberto Clemente Day patch
9/15/21,NYY,Road gray Roberto Clemente Day patch Whitey Ford 16 memorial patch,BAL,Home white
9/15/21,LAA,Road gray Roberto Clemente Day patch,CHW,Home black Martyl Reinsdorf MR memorial patch Roberto Clemente Day patch
9/15/21,MIL,Road gray Hank Aaron 44 memorial patch,DET,Home white Roberto Clemente Day patch
9/15/21,OAK,Road gray Roberto Clemente Day patch,KCR,Home white Roberto Clemente Day patch
9/15/21,ARI,Road red snake hat Roberto Clemente Day patch,LAD,Home white Roberto Clemente Day patch Tommy Lasorda TOMMY 2 memorial patch Don Sutton SUTTON 20 memorial patch
9/15/21,CLE,Road gray Roberto Clemente Day patch,MIN,Home powder Mike Bell MB memorial patch
9/15/21,STL,Road gray Roberto Clemente Day patch Bob Gibson 45 memorial patch,NYM,Home white Roberto Clemente Day patch Tom Seaver 41 memorial patch
9/15/21,CHC,Road gray Roberto Clemente Day patch,PHI,Home white Roberto Clemente Day patch Dick Allen 15 memorial patch
9/15/21,CIN,Road gray Joe Morgan 8 memorial patch Roberto Clemente Day patch,PIT,Home white Roberto Clemente Day
9/15/21,BOS,Road gray Roberto Clemente Day patch,SEA,Home white Roberto Clemente Day patch
9/15/21,SDP,Road sand Roberto Clemente Day patch,SFG,Home cream Roberto Clemente Day patch
9/15/21,HOU,Road gray Roberto Clemente Day patch,TEX,Home white blue hat Roberto Clemente Day patch
9/15/21,TBR,Road gray Roberto Clemente Day patch,TOR,Home royal Roberto Clemente Day patch
9/15/21,MIA,Road gray Roberto Clemente Day patch,WSN,Home white red hat Roberto Clemente Day patch
9/16/21,COL,Postponed - Not rescheduled,ATL,Postponed - Not rescheduled
9/16/21,NYY,Road gray Whitey Ford 16 memorial patch,BAL,Home white
9/16/21,LAA,Road gray,CHW,Home white Martyl Reinsdorf MR memorial patch
9/16/21,OAK,Road gray,KCR,Home powder
9/16/21,CHC,Road royal,PHI,Home throwback Dick Allen 15 memorial patch
9/16/21,CIN,Road red Joe Morgan 8 memorial patch,PIT,Home black
9/16/21,SDP,Road sand,SFG,Home cream
9/16/21,DET,Road gray,TBR,Home navy
9/16/21,HOU,Road gray,TEX,Home white red hat
9/17/21,BAL,Road black,BOS,City Connect
9/17/21,LAD,Road gray Los Angeles Tommy Lasorda TOMMY 2 memorial patch Don Sutton SUTTON 20 memorial patch,CIN,Home white Military Appreciation
9/17/21,ARI,Road gray,HOU,Home orange
9/17/21,SEA,Road gray,KCR,Home white Hispanic Heritage
9/17/21,OAK,Road gray,LAA,Home white
9/17/21,PIT,Road gray,MIA,Home black
9/17/21,CHC,Road royal,MIL,Home white Hank Aaron 44 memorial patch
9/17/21,PHI,Road gray Dick Allen 15 memorial patch,NYM,Home black Tom Seaver 41 memorial patch
9/17/21,CLE,Road navy,NYY,Home white Whitey Ford 16 memorial patch
9/17/21,ATL,Road navy 150th season patch,SFG,Home orange
9/17/21,SDP,Road sand,STL,Home white Bob Gibson 45 memorial patch
9/17/21,DET,Road gray,TBR,Home navy
9/17/21,CHW,Road gray Martyl Reinsdorf MR memorial patch,TEX,Home red
9/17/21,MIN,Road gray Mike Bell MB memorial patch,TOR,Home royal
9/17/21,COL,Road gray 2021 All Star Game patch,WSN,Home navy
9/18/21,BAL,Road orange,BOS,City Connect
9/18/21,LAD,Road gray Los Angeles Tommy Lasorda TOMMY 2 memorial patch Don Sutton SUTTON 20 memorial patch,CIN,Home red Joe Morgan 8 memorial patch
9/18/21,ARI,Road gray,HOU,Home white Hispanic Heritage
9/18/21,SEA,Road navy,KCR,Home white
9/18/21,OAK,Road gray,LAA,Home white
9/18/21,PIT,Road gray,MIA,Home black
9/18/21,CHC,Road gray,MIL,Home white Hank Aaron 44 memorial patch
9/18/21,PHI,Road gray Dick Allen 15 memorial patch,NYM,Home white Tom Seaver 41 memorial patch
9/18/21,CLE,Road navy,NYY,Home white Whitey Ford 16 memorial patch
9/18/21,ATL,Road gray 150th season patch,SFG,Home black Hispanic Heritage
9/18/21,SDP,Road brown,STL,Home cream Bob Gibson 45 memorial patch
9/18/21,DET,Road gray,TBR,Home navy
9/18/21,CHW,Road black Martyl Reinsdorf MR memorial patch,TEX,Home white blue hat
9/18/21,MIN,Road gray Mike Bell MB memorial patch,TOR,Home white
9/18/21,COL,Road black 2021 All Star Game patch,WSN,Home white Curly W
9/19/21,BAL,Road gray,BOS,City Connect
9/19/21,LAD,Road gray Los Angeles Tommy Lasorda TOMMY 2 memorial patch Don Sutton SUTTON 20 memorial patch,CIN,Home red Joe Morgan 8 memorial patch
9/19/21,ARI,Road red snake hat,HOU,Home white Hispanic Heritage
9/19/21,SEA,Road teal,KCR,Home powder
9/19/21,OAK,Road gray,LAA,Home white
9/19/21,PIT,Road black,MIA,Home white
9/19/21,CHC,Road gray,MIL,Home white Hank Aaron 44 memorial patch
9/19/21,PHI,Road red Dick Allen 15 memorial patch,NYM,Home white Tom Seaver 41 memorial patch
9/19/21,CLE,Road navy,NYY,Home white Whitey Ford 16 memorial patch
9/19/21,ATL,Road navy 150th season patch,SFG,Home cream
9/19/21,SDP,Road sand,STL,Home white Sunday hat Bob Gibson 45 memorial patch
9/19/21,DET,Road gray,TBR,Home powder throwback hat
9/19/21,CHW,Road black Martyl Reinsdorf MR memorial patch,TEX,Home powder
9/19/21,MIN,Road gray Mike Bell MB memorial patch,TOR,Home white
9/19/21,COL,Road gray 2021 All Star Game patch,WSN,Home white Curly W
9/20/21,ATL,Road gray 150th season patch,ARI,Home white sand accents
9/20/21,PIT,Road black,CIN,Home white Joe Morgan 8 memorial patch
9/20/21,KCR,Road royal,CLE,Home white
9/20/21,KCR,Road gray,CLE,Home red
9/20/21,CHW,Road gray Martyl Reinsdorf MR memorial patch,DET,Home white
9/20/21,HOU,Road gray,LAA,Home red
9/20/21,WSN,Road navy,MIA,Home white
9/20/21,STL,Road gray Bob Gibson 45 memorial patch,MIL,Home cream Hank Aaron 44 memorial patch
9/20/21,TEX,Road gray,NYY,Home white Whitey Ford 16 memorial patch
9/20/21,SEA,Road teal,OAK,Home white
9/20/21,BAL,Road gray,PHI,Home white Dick Allen 15 memorial patch
9/20/21,TOR,Road royal,TBR,Home white
9/21/21,ATL,Road gray 150th season patch,ARI,Home white teal accents
9/21/21,NYM,Road gray Tom Seaver 41 memorial patch,BOS,City Connect
