1,INF,William Bergolla Jr.,L,Charlotte,Injured List,No
34,C,Josh Breaux,R,Charlotte,Development List,No
6,INF,Mario Camilletti,L,Charlotte,Active,No
23,P,Jonathan Cannon,R,Charlotte,Active,Yes
15,P,Adisyn Coffey,R,Charlotte,Active,No
5,OF,Caden Connor,L,Charlotte,Active,No
18,P,Jake Curtis,R,Charlotte,Demoted,No
18,P,Tyler Davis,R,Charlotte,Promoted,Yes
43,P,Duncan Davitt,R,Charlotte,Active,Yes
3,INF,Oliver Dunn,L,Charlotte,Active,No
46,P,Brandon Eisert,L,Charlotte,Active,Yes
,INF,Tim Elko,R,Charlotte,60-day IL,No
36,P,Zach Franklin,R,Charlotte,Active,No
9,C,Kaleb Freeman,S,Charlotte,Demoted,No
16,INF,Ryan Galanie,R,Charlotte,Active,No
17,P,Tyler Gilbert,L,Charlotte,Active,Yes
7,INF,Jacob Gonzalez,L,Charlotte,Active,No
38,P,Wikelman González,R,Charlotte,Injured List,Yes
40,P,Riley Gowens,R,Charlotte,Demoted,No
10,OF,Dustin Harris,L,Charlotte,Active,No
14,OF,Austin Hays,R,Charlotte,Promoted,Yes
10,OF,Jarred Kelenic,L,Charlotte,Promoted,Yes
18,P,Jackson Kelley,R,Charlotte,Active,No
27,P,Jordan Leasure,R,Charlotte,Active,Yes
88,C,Korey Lee,R,Charlotte,Active,No
9,INF,Jason Matthews,R,Charlotte,Demoted,No
24,P,Tanner McDougal,R,Charlotte,Injured List,Yes
19,P,Tyson Miller,R,Charlotte,Free Agent,No
14,OF,Braden Montgomery,S,Charlotte,Active,No
44,P,Chris Murphy,L,Charlotte,Active,No
47,P,Shane Murphy,L,Charlotte,Active,No
8,INF,Tanner Murray,R,Charlotte,Promoted,Yes
20,P,Doug Nikhazy (IWA),L,Charlotte,Claimed,No
11,INF,Rikku Nishida,L,Charlotte,Active,No
31,P,Ben Peoples,R,Charlotte,Active,No
14,OF,Everson Pereira,R,Charlotte,Promoted,Yes
49,P,Chase Plymell,R,Charlotte,Active,No
13,C,Drew Romo,S,Charlotte,Promoted,Yes
37,P,David Sandlin,R,Charlotte,Active,Yes
28,P,Garrett Schoenle,L,Charlotte,Active,No
22,P,Noah Schultz,L,Charlotte,Promoted,Yes
26,P,Tyler Schweitzer,L,Charlotte,Promoted,Yes
39,P,Lucas Sims,R,Charlotte,Active,No
33,P,Hagen Smith,L,Charlotte,Active,No
48,P,Shane Smith,R,Charlotte,Injured List,Yes
18,OF,T.J. McCants,L,Charlotte,Demoted,No
12,C,Michael Turner,L,Charlotte,Active,No
30,OF,LaMonte Wade Jr.,L,Charlotte,Active,No
16,P,Jack Young,R,Charlotte,Demoted,No
45,P,Osvaldo Bido,R,Charlotte,Injured List,No
50,P,Franco Aleman,R,Columbus,Active,Yes
29,P,Kolby Allard,L,Columbus,Active,No
26,P,Logan Allen,L,Columbus,Active,Yes
60,P,Pedro Avila,R,Columbus,Active,No
12,INF,Travis Bazzana,L,Columbus,Promoted,Yes
31,INF,Juan Benjamin,S,Columbus,Demoted,No
24,INF,Juan Brito,S,Columbus,Active,Yes
32,P,Tanner Burns,R,Columbus,Active,No
29,P,Jack Carey,R,Columbus,Demoted,No
45,INF,Maick Collado,S,Columbus,Active,No
,P,Aaron Davenport,R,Columbus,60-day IL,No
17,P,Trenton Denholm,R,Columbus,Active,No
22,P,Will Dion,L,Columbus,Active,No
37,P,Jay Driver,R,Columbus,Demoted,No
45,P,Magnus Ellerts,R,Columbus,Demoted,No
27,P,Daniel Espino,R,Columbus,Active,Yes
7,OF,Stuart Fairchild,R,Columbus,Active,No
15,INF,Dayan Frias,S,Columbus,Active,No
48,P,Hunter Gaddis,R,Columbus,Promoted,Yes
10,INF,Angel Genao,S,Columbus,Active,No
65,P,Yorman Gómez,R,Columbus,Injured List,Yes
10,OF,Petey Halpin,L,Columbus,Promoted,Yes
,P,Carlos Hernández,R,Columbus,60-day IL,No
30,P,Codi Heuer,R,Columbus,Promoted,Yes
35,P,Colin Holderman,R,Columbus,Promoted,Yes
6,C,Kody Huff,R,Columbus,Active,No
2,C,Cooper Ingle,L,Columbus,Active,No
31,P,Matt Jachec,R,Columbus,Demoted,No
47,P,Jack Jasiak,R,Columbus,Demoted,No
34,OF,Nolan Jones,L,Columbus,Active,No
1,OF,CJ Kayfus,L,Columbus,Injured List,Yes
37,P,Jack Leftwich,R,Columbus,Active,No
,P,Ben Lively,R,Columbus,60-day IL,No
41,P,Tommy Mace,R,Columbus,Active,No
49,P,Rorik Maltrud,R,Columbus,Active,No
17,P,Izaak Martinez,L,Columbus,Demoted,No
35,P,Sean Matson,R,Columbus,Demoted,No
36,P,Jake Miller,R,Columbus,Active,No
,C,Bo Naylor,L,Columbus,Not Yet Reported,Yes
11,C,Dom Nuñez,L,Columbus,Active,No
16,P,Steven Pérez,L,Columbus,Active,No
46,P,Austin Peterson,R,Columbus,Active,No
65,INF,Kevin Rivas,S,Columbus,Demoted,No
8,INF,Milan Tolentino,L,Columbus,Active,No
12,OF,George Valera,L,Columbus,Active,Yes
